City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,General Roca,AR,2021-10-03 06:11:26,-39.0333,-67.5833,47.95,40,4,16.46
68,Qaanaaq,GL,2021-10-03 06:08:20,77.484,-69.3632,31.08,95,100,13.69
69,Bitung,ID,2021-10-03 06:08:08,1.4451,125.1824,88.65,79,97,4.74
70,Gazanjyk,TM,2021-10-03 06:10:17,39.2446,55.5154,63.41,18,16,19.15
71,Tovuz,AZ,2021-10-03 06:11:27,40.9922,45.6289,54.39,82,100,1.92
72,Khasan,RU,2021-10-03 06:11:28,42.4308,130.6434,67.68,80,100,11.88
73,Vestmannaeyjar,IS,2021-10-03 06:11:28,63.4427,-20.2734,42.3,74,65,26.8
74,Victoria Point,AU,2021-10-03 06:11:29,-27.5833,153.3,89.82,43,18,3.0
75,Posse,BR,2021-10-03 06:11:29,-14.0931,-46.3694,74.35,43,7,5.12
76,Souillac,MU,2021-10-03 06:09:20,-20.5167,57.5167,75.36,60,21,17.43
77,Avera,US,2021-10-03 06:11:30,33.194,-82.5271,69.67,71,95,5.61
78,Thompson,CA,2021-10-03 06:11:31,55.7435,-97.8558,49.66,76,57,3.31
79,Kenora,CA,2021-10-03 06:11:31,49.8167,-94.4337,55.38,76,3,3.0
80,Ucluelet,CA,2021-10-03 06:09:33,48.9329,-125.5528,57.09,93,100,7.52
81,Nikolskoye,RU,2021-10-03 06:08:30,59.7035,30.7861,43.88,86,17,5.88
82,Khandbari,NP,2021-10-03 06:11:32,27.3747,87.2039,71.13,90,100,1.14
83,Puerto Ayora,EC,2021-10-03 06:08:16,-0.7393,-90.3518,69.24,89,72,9.06
84,Cabo San Lucas,MX,2021-10-03 06:07:02,22.8909,-109.9124,79.95,77,100,4.65
85,Touros,BR,2021-10-03 06:11:33,-5.1989,-35.4608,74.3,85,13,12.68
86,Nome,US,2021-10-03 06:10:15,64.5011,-165.4064,30.16,86,1,6.91
87,Kapaa,US,2021-10-03 06:08:38,22.0752,-159.319,78.78,79,40,13.8
88,Hervey Bay,AU,2021-10-03 06:11:35,-25.2986,152.8535,79.03,81,0,15.57
89,Kiboga,UG,2021-10-03 06:11:35,0.9161,31.7742,66.94,88,100,2.8
90,Lazaro Cardenas,MX,2021-10-03 06:11:36,17.9583,-102.2,77.29,84,78,3.62
91,Carnarvon,AU,2021-10-03 06:10:17,-24.8667,113.6333,73.47,49,54,23.02
92,Aykhal,RU,2021-10-03 06:11:37,66.0,111.5,37.99,44,42,4.16
93,Dingle,PH,2021-10-03 06:11:58,10.9995,122.6711,86.04,75,87,8.46
94,Porbandar,IN,2021-10-03 06:12:20,21.6422,69.6093,84.83,68,68,4.7
95,Silvania,BR,2021-10-03 06:12:20,-16.6589,-48.6081,67.96,52,23,2.06
96,Jawad,IN,2021-10-03 06:12:20,24.6,74.85,86.94,61,10,4.76
97,La Romana,DO,2021-10-03 06:12:21,18.4273,-68.9728,80.33,85,99,6.24
98,Tecoanapa,MX,2021-10-03 06:10:33,16.5167,-98.75,78.15,86,70,3.22
99,Nowy Dwor Gdanski,PL,2021-10-03 06:12:21,54.2131,19.1177,54.0,59,100,15.17
100,Provideniya,RU,2021-10-03 06:08:27,64.3833,-173.3,23.79,72,0,2.66
101,Korla,CN,2021-10-03 06:12:22,41.7597,86.1469,57.22,27,100,10.22
102,Cap-Aux-Meules,CA,2021-10-03 06:12:23,47.3821,-61.8597,52.21,76,95,11.63
103,Serabu,SL,2021-10-03 06:12:23,7.7958,-12.0536,72.03,99,100,2.8
104,Fortuna,US,2021-10-03 06:08:52,40.5982,-124.1573,56.43,74,90,0.0
105,Talcahuano,CL,2021-10-03 06:10:15,-36.7167,-73.1167,42.48,81,0,8.05
106,Constantine,DZ,2021-10-03 06:09:04,36.365,6.6147,65.97,63,0,4.12
107,Ponta Do Sol,PT,2021-10-03 06:12:24,32.6667,-17.1,70.43,80,0,4.9
108,Mahebourg,MU,2021-10-03 06:09:17,-20.4081,57.7,75.25,66,27,17.81
109,Marawi,PH,2021-10-03 06:12:25,7.9986,124.2928,73.65,76,78,5.41
110,Mount Isa,AU,2021-10-03 06:08:34,-20.7333,139.5,103.77,10,0,11.5
111,Ixtapa,MX,2021-10-03 06:12:26,20.7,-105.2,79.23,89,30,3.04
112,Deoli,IN,2021-10-03 06:12:26,25.75,75.3833,88.07,61,4,8.32
113,Lompoc,US,2021-10-03 06:08:27,34.6391,-120.4579,63.52,100,90,0.0
114,Constitucion,CL,2021-10-03 06:08:58,-35.3333,-72.4167,46.67,64,0,12.68
115,Lumeje,AO,2021-10-03 06:12:27,-11.55,20.7833,71.35,64,63,5.01
116,Shingu,JP,2021-10-03 06:12:27,33.7333,135.9833,77.43,60,0,9.48
117,Chuy,UY,2021-10-03 06:08:15,-33.6971,-53.4616,54.18,93,97,5.53
118,Butaritari,KI,2021-10-03 06:08:16,3.0707,172.7902,82.35,67,32,15.59
119,Hilo,US,2021-10-03 06:08:43,19.7297,-155.09,75.25,88,40,0.0
120,Okhotsk,RU,2021-10-03 06:12:28,59.3833,143.3,45.79,60,98,12.62
121,Atuona,PF,2021-10-03 06:08:31,-9.8,-139.0333,78.1,75,26,20.04
122,Kungurtug,RU,2021-10-03 06:12:29,50.5994,97.5228,40.14,36,90,6.4
123,Sira,IN,2021-10-03 06:12:29,13.7453,76.9092,86.11,52,16,8.59
124,Bikin,RU,2021-10-03 06:12:30,46.8161,134.26,49.69,87,100,8.19
125,Sao Filipe,CV,2021-10-03 06:10:36,14.8961,-24.4956,79.3,79,43,6.08
126,Komsomolskiy,UZ,2021-10-03 06:12:31,40.4272,71.7189,60.22,33,45,2.3
127,Cidreira,BR,2021-10-03 06:09:30,-30.1811,-50.2056,63.77,89,74,12.5
128,Vila Franca Do Campo,PT,2021-10-03 06:08:29,37.7167,-25.4333,72.19,90,97,6.06
129,Hasaki,JP,2021-10-03 06:08:35,35.7333,140.8333,79.2,71,2,9.28
130,San Patricio,US,2021-10-03 06:12:32,28.017,-97.5169,80.44,75,100,3.71
131,Derzhavinsk,KZ,2021-10-03 06:12:32,51.1,66.3167,47.44,64,98,7.56
132,Tabligbo,TG,2021-10-03 06:12:33,6.5833,1.5,74.34,96,55,3.87
133,Krasnoselkup,RU,2021-10-03 06:12:33,65.7,82.4667,29.43,85,98,9.84
134,Aklavik,CA,2021-10-03 06:12:34,68.2191,-135.0107,32.61,94,100,16.15
135,Severo-Kurilsk,RU,2021-10-03 06:12:34,50.6789,156.125,47.3,96,100,18.21
136,Chalus,IR,2021-10-03 06:08:39,36.655,51.4204,68.11,82,99,2.8
137,Ola,RU,2021-10-03 06:12:35,59.5833,151.2833,43.63,71,100,9.1
138,Caravelas,BR,2021-10-03 06:08:35,-17.7125,-39.2481,74.03,87,8,10.18
139,Port Lincoln,AU,2021-10-03 06:12:35,-34.7333,135.8667,60.64,60,6,25.9
140,Talakan,RU,2021-10-03 06:12:12,50.3167,130.3667,46.06,77,100,3.58
141,Bilibino,RU,2021-10-03 06:12:36,68.0546,166.4372,25.3,98,100,2.44
142,Rancho Palos Verdes,US,2021-10-03 06:10:43,33.7445,-118.387,82.53,43,1,1.99
143,Vigrestad,NO,2021-10-03 06:12:37,58.5667,5.7,59.0,89,100,30.06
144,Portland,US,2021-10-03 06:12:37,45.5234,-122.6762,57.69,82,1,3.0
145,Menongue,AO,2021-10-03 06:08:49,-14.6585,17.691,70.59,22,8,7.4
146,Trinidad,BO,2021-10-03 06:09:25,-14.8333,-64.9,85.28,48,14,7.47
147,Bereda,ES,2021-10-03 06:12:38,43.2686,-7.5406,52.41,100,90,3.2
148,Mogadishu,SO,2021-10-03 06:10:00,2.0371,45.3438,80.08,76,39,14.16
149,Port-Gentil,GA,2021-10-03 06:12:39,-0.7193,8.7815,77.32,86,98,12.06
150,Am Timan,TD,2021-10-03 06:12:39,11.0297,20.2827,76.89,83,99,5.73
151,Bhaktapur,NP,2021-10-03 06:12:40,27.6833,85.4167,75.34,73,75,5.75
152,Tuktoyaktuk,CA,2021-10-03 06:08:54,69.4541,-133.0374,34.79,92,100,20.87
153,Trenggalek,ID,2021-10-03 06:12:41,-8.05,111.7167,84.0,61,98,8.28
154,Chokurdakh,RU,2021-10-03 06:09:25,70.6333,147.9167,26.26,96,100,10.11
155,Shache,CN,2021-10-03 06:12:41,38.4167,77.2406,72.43,20,83,12.5
156,Georgetown,MY,2021-10-03 06:07:55,5.4112,100.3354,89.53,70,20,8.05
157,Norman Wells,CA,2021-10-03 06:09:23,65.282,-126.8329,34.59,94,100,9.06
158,Davila,PH,2021-10-03 06:12:42,18.4726,120.5763,86.97,71,70,23.71
159,Vardo,NO,2021-10-03 06:10:23,70.3705,31.1107,46.65,85,100,26.51
160,Balikpapan,ID,2021-10-03 06:12:43,-1.2675,116.8289,83.39,79,20,3.44
161,Lisakovsk,KZ,2021-10-03 06:12:43,52.5369,62.4936,45.28,55,54,13.76
162,Mount Gambier,AU,2021-10-03 06:12:44,-37.8333,140.7667,55.9,96,99,9.95
163,Adrar,MR,2021-10-03 06:12:44,20.5022,-10.0711,83.26,18,2,3.04
164,Grindavik,IS,2021-10-03 06:12:45,63.8424,-22.4338,41.47,81,75,25.32
165,Kandrian,PG,2021-10-03 06:12:45,-6.2167,149.55,83.52,72,100,7.2
166,Beyneu,KZ,2021-10-03 06:10:27,45.3167,55.2,55.02,24,0,5.23
167,Nakusp,CA,2021-10-03 06:12:46,50.2499,-117.8023,47.48,97,95,3.4
168,Zverinogolovskoye,RU,2021-10-03 06:12:47,54.4586,64.8542,42.44,61,89,13.51
169,Mbala,ZM,2021-10-03 06:12:47,-8.8402,31.3659,74.01,37,73,1.83
170,Langsa,ID,2021-10-03 06:12:48,4.4683,97.9683,92.17,52,95,5.01
