City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yar-Sale,RU,66.8333,70.8333,44.35,73,10,15.99,clear sky
80,Hobart,AU,-42.8794,147.3294,64.11,53,20,1.01,few clouds
81,Noumea,NC,-22.2763,166.4572,80.58,73,14,6.78,few clouds
82,Jieshi,CN,22.8134,115.8257,93.94,63,1,18.45,clear sky
83,Constitucion,CL,-35.3333,-72.4167,49.59,65,1,5.99,clear sky
84,Jamestown,US,42.097,-79.2353,65.52,100,90,3.44,overcast clouds
85,Nanortalik,GL,60.1432,-45.2371,37.0,61,4,7.52,clear sky
86,Klaksvik,FO,62.2266,-6.589,38.32,87,98,14.45,overcast clouds
87,Oltu,TR,40.5498,42.0013,41.61,98,100,1.88,overcast clouds
88,Hobyo,SO,5.3505,48.5268,82.78,70,14,19.1,few clouds
89,Kenai,US,60.5544,-151.2583,42.15,88,90,3.44,light rain
90,Avera,US,33.194,-82.5271,72.72,97,100,5.86,overcast clouds
91,Ambulu,ID,-8.345,113.6058,81.55,63,47,9.48,scattered clouds
92,Baillif,GP,16.0202,-61.7463,78.64,71,32,10.87,scattered clouds
93,Vila,PT,42.0304,-8.1588,51.93,94,36,4.56,scattered clouds
94,Yenagoa,NG,4.9247,6.2642,76.5,93,99,2.06,light rain
95,Zharkent,KZ,44.1628,80.0,44.08,54,100,16.96,overcast clouds
96,Wuchang,CN,44.9143,127.15,53.37,46,100,5.48,overcast clouds
97,Merrill,US,45.1805,-89.6835,53.55,98,1,0.0,mist
98,Oyon,PE,-10.6681,-76.7731,47.01,87,94,0.54,overcast clouds
99,Hasaki,JP,35.7333,140.8333,73.29,73,61,19.75,broken clouds
100,San Quintin,MX,30.4833,-115.95,67.55,74,0,4.88,clear sky
101,Devils Lake,US,48.1128,-98.8651,66.18,55,1,8.99,clear sky
102,Clyde River,CA,70.4692,-68.5914,33.24,99,100,9.66,light snow
103,Tutoia,BR,-2.7619,-42.2744,79.07,81,55,13.11,broken clouds
104,Dikson,RU,73.5069,80.5464,35.69,97,100,13.38,overcast clouds
105,East London,ZA,-33.0153,27.9116,59.94,88,0,4.61,light rain
106,Kruisfontein,ZA,-34.0033,24.7314,59.31,76,52,4.72,broken clouds
107,Provideniya,RU,64.3833,-173.3,39.31,81,90,6.71,light rain
108,Puerto Ayora,EC,-0.7393,-90.3518,68.56,95,79,4.0,broken clouds
109,Kiama,AU,-34.6833,150.8667,74.68,50,0,13.0,clear sky
110,Yabrud,SY,33.9674,36.6574,47.86,40,0,1.21,clear sky
111,Bluff,NZ,-46.6,168.3333,55.81,86,100,6.33,light rain
112,Kaitangata,NZ,-46.2817,169.8464,55.69,84,100,11.3,overcast clouds
113,Kisanga,TZ,-7.4362,37.7034,81.59,53,65,3.51,broken clouds
114,Ribeira Grande,PT,38.5167,-28.7,72.75,87,100,18.19,overcast clouds
115,Ambon,ID,-3.6954,128.1814,87.94,70,40,5.75,scattered clouds
116,Gamba,GA,-2.65,10.0,75.99,80,99,6.98,overcast clouds
117,Russell,US,32.3502,-85.1999,69.8,93,90,0.0,overcast clouds
118,Aykhal,RU,66.0,111.5,28.09,83,100,23.09,overcast clouds
119,Batagay-Alyta,RU,67.8006,130.4114,29.21,60,100,7.36,overcast clouds
120,Saint George,US,37.1041,-113.5841,65.35,77,90,1.99,overcast clouds
121,Merauke,ID,-8.4667,140.3333,83.17,67,96,15.86,overcast clouds
122,Koutiala,ML,12.3917,-5.4642,76.84,67,0,2.21,clear sky
123,Chuy,UY,-33.6971,-53.4616,49.5,87,0,6.31,light rain
124,Santa Cruz De Tenerife,ES,28.4682,-16.2546,74.7,78,20,3.0,few clouds
125,Rorvik,NO,64.8621,11.2373,44.71,100,0,3.44,clear sky
126,Cooma,AU,-36.2333,149.1333,60.57,38,0,13.8,clear sky
127,Eucaliptus,BO,-17.5833,-67.5167,47.86,64,100,8.66,overcast clouds
128,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.31,87,100,9.66,overcast clouds
129,Castro,BR,-24.7911,-50.0119,55.62,96,94,6.24,overcast clouds
130,Hyeres,FR,43.1167,6.1167,60.55,55,0,17.27,clear sky
131,Souris,CA,49.6172,-100.2612,68.74,34,12,8.59,few clouds
132,Torbay,CA,47.6666,-52.7314,43.75,93,1,11.5,clear sky
133,Gizel,RU,43.04,44.5708,44.82,100,90,4.47,overcast clouds
134,Arraial Do Cabo,BR,-22.9661,-42.0278,69.35,85,100,11.21,overcast clouds
135,Bredasdorp,ZA,-34.5322,20.0403,60.28,94,65,2.3,broken clouds
136,Vestmannaeyjar,IS,63.4427,-20.2734,42.78,84,100,23.58,overcast clouds
137,Bundaberg,AU,-24.85,152.35,79.21,35,0,8.01,clear sky
138,Mount Gambier,AU,-37.8333,140.7667,64.31,63,90,8.05,light rain
139,Norman Wells,CA,65.282,-126.8329,28.44,93,75,3.44,broken clouds
140,Labuhan,ID,-6.8844,112.2051,89.85,53,86,6.58,overcast clouds
141,Nome,US,64.5011,-165.4064,44.67,82,90,14.97,light rain
142,Leningradskiy,RU,69.3833,178.4167,29.25,98,100,9.1,snow
143,Pevek,RU,69.7008,170.3133,27.81,90,100,18.68,light snow
144,Bethel,US,41.3712,-73.414,60.94,90,90,3.44,overcast clouds
145,Mount Isa,AU,-20.7333,139.5,100.17,10,4,10.36,clear sky
146,Panaba,MX,21.2833,-88.2667,73.87,93,15,6.06,few clouds
147,Kysyl-Syr,RU,63.8986,122.7617,38.03,62,62,9.04,broken clouds
148,Karratha,AU,-20.7377,116.8463,84.42,25,1,14.5,clear sky
149,Pasni,PK,25.2631,63.471,81.45,76,1,4.56,clear sky
150,Upernavik,GL,72.7868,-56.1549,30.74,50,100,5.14,overcast clouds
151,Fort Nelson,CA,58.8053,-122.7002,29.79,86,75,3.44,broken clouds
152,Zahir Pir,PK,28.8124,70.524,99.48,27,1,7.11,clear sky
153,Fortuna,US,40.5982,-124.1573,56.19,67,90,1.99,overcast clouds
154,Nuuk,GL,64.1835,-51.7216,36.21,87,75,17.27,broken clouds
155,Dwarka,IN,22.2394,68.9678,84.25,69,91,7.96,overcast clouds
156,Lensk,RU,60.7253,114.9278,36.7,63,88,10.58,overcast clouds
157,Ambatofinandrahana,MG,-20.55,46.8,71.22,47,2,2.39,clear sky
158,Tupik,RU,54.4253,119.9327,42.13,49,60,2.91,broken clouds
159,Awbari,LY,26.5921,12.7805,71.02,34,0,6.49,clear sky
160,Kirovskiy,RU,45.0917,133.5136,55.89,47,84,6.11,broken clouds
161,Broome,US,42.2506,-75.833,64.45,82,90,0.0,fog
162,Boyolangu,ID,-8.1181,111.8935,82.53,59,90,12.28,light rain
163,Alta Floresta,BR,-9.8756,-56.0861,73.31,81,81,2.66,broken clouds
164,Nalut,LY,30.3333,10.85,70.84,40,0,10.96,clear sky
165,Yatou,CN,37.15,122.3833,68.65,72,100,5.53,overcast clouds
