City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Tiquisate,GT,79.61,broken clouds,14.2833,-91.3667,Hotel Small Ville - Tiquisate
415,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
416,Sur,OM,88.5,clear sky,22.5667,59.5289,Sur Plaza Hotel
418,Salalah,OM,82.49,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
421,Arlit,NE,82.24,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
422,Biltine,TD,79.83,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
423,Port Macquarie,AU,75.38,clear sky,-31.4333,152.9167,Rydges Port Macquarie
426,Tura,IN,85.26,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
427,Matara,LK,83.14,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
429,Belle Glade,US,82.42,overcast clouds,26.6845,-80.6676,Mid-City Trailer Park
445,Bairiki,KI,84.2,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
450,Dongkan,CN,81.5,scattered clouds,33.9997,119.8308,Triumphal Resort
454,Garmsar,IR,75.04,clear sky,35.2182,52.3409,آذین فوم
456,Honjo,JP,82.09,scattered clouds,36.2333,139.1833,Hotel Honjo
460,Hatillo,PR,80.85,overcast clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
468,Eyl,SO,85.53,scattered clouds,7.9803,49.8164,Amiin Hotel
469,Buluang,PH,84.76,overcast clouds,13.3068,123.3425,Enon Beach Resort
470,Bilma,NE,75.63,clear sky,18.6853,12.9164,Expeditions Ténére voyages
471,Buraydah,SA,82.85,clear sky,26.326,43.975,فندق راحة السلام
472,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
473,Faanui,PF,79.0,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
475,Bonthe,SL,77.7,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
476,Baracoa,CU,80.47,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
479,Amarante Do Maranhao,BR,75.67,scattered clouds,-5.5667,-46.7422,Hotéis Caçulinha
482,Porto Nacional,BR,80.6,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
489,Nouakchott,MR,75.13,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
490,Gushikawa,JP,85.23,broken clouds,26.3544,127.8686,Kirari Guest House
502,Bandarban,BD,87.51,few clouds,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
503,Biak,ID,83.37,broken clouds,-0.9131,122.8766,Penginapan Kim
508,Luwuk,ID,86.09,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
522,Khuzdar,PK,81.84,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
525,Progreso,MX,77.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
526,Lazaro Cardenas,MX,78.6,broken clouds,17.9583,-102.2,quinta antigua
530,Atar,MR,81.79,clear sky,20.5169,-13.0499,Oumou Elghoura
532,Hirara,JP,89.46,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
535,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
540,Ormara,PK,80.98,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
542,Jega,NG,78.24,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
546,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
549,Mahibadhoo,MV,84.0,broken clouds,3.7833,72.9667,Omadhoo Inn
550,Porto Velho,BR,77.05,light rain,-8.7619,-63.9039,Hotel Central
553,Quang Ngai,VN,75.38,light rain,15.1167,108.8,Central Hotel
558,Shimoda,JP,79.16,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
559,Maracaju,BR,75.76,few clouds,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
575,Umm Lajj,SA,83.23,clear sky,25.0213,37.2685,Moon light Furnished Units
576,Banjar,ID,80.46,broken clouds,-8.19,114.9675,The Hamsa Resort
580,Auki,SB,84.25,scattered clouds,-8.7676,160.7034,Auki Motel
582,Kavaratti,IN,80.2,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
583,Hit,IQ,80.82,clear sky,33.6416,42.8251,صالون زيرو
588,Waingapu,ID,83.98,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
591,Fare,PF,78.75,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
597,Shingu,JP,81.59,scattered clouds,33.7333,135.9833,Shingu UI Hotel
599,Nkayi,CG,76.28,overcast clouds,-4.1841,13.2884,Résidence privée du Maire NKAYI
600,Sai Buri,TH,87.51,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
601,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
604,Kendari,ID,88.36,broken clouds,-3.945,122.4989,Hotel Wixel
613,Saiha,IN,88.63,few clouds,22.4833,92.9667,"Circuit House, Siaha"
620,Bowen,AU,82.62,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
625,Cuamba,MZ,80.87,broken clouds,-14.8031,36.5372,Hotel Vision
632,Tezu,IN,88.81,scattered clouds,27.9167,96.1667,Circuit House
637,Sri Aman,MY,87.85,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
639,Governador Valadares,BR,75.15,scattered clouds,-18.8511,-41.9494,Hotel Panorama
642,Fayaoue,NC,77.81,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
646,Katobu,ID,86.41,broken clouds,-4.9408,122.5276,La Ode Husein
647,Elizabeth City,US,75.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
652,Gudari,IN,88.7,scattered clouds,19.35,83.7833,Hotel maa majhigouri
653,Kailua,US,80.58,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
655,Segou,ML,77.7,few clouds,13.4317,-6.2157,Comme chez soi
660,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
661,Narasannapeta,IN,87.04,broken clouds,18.4167,84.05,G.lingaraju home
667,Sisophon,KH,87.64,moderate rain,13.5859,102.9737,Pyramid Hotel
670,Sola,VU,81.1,broken clouds,-13.8833,167.55,Leumerus Bungalows
676,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
679,Kimbe,PG,79.79,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
680,Manzanillo,CU,75.25,moderate rain,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
681,Cocorit,MX,83.71,broken clouds,27.5833,-109.9667,Kaba Motel
683,Wahiawa,US,77.32,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
690,Bera,BD,89.67,clear sky,24.0833,89.6167,Sohel Parvez
691,Unhel,IN,86.54,scattered clouds,23.3333,75.5667,Dhakad Dharmashala
